# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationMaxMs,1715137196105000000,1715137256116000000,0.0
IndexesFlusher.totalFlushesRetried,1715137196105000000,1715137256116000000,0
Indexes.stubs.lookupDurationAvgMs,1715137196105000000,1715137256116000000,1.1802575107296138
Indexes.stubs.lookups,1715137196105000000,1715137256116000000,466.0
Indexes.entries.lookupDuration90PMs,1715137196105000000,1715137256116000000,6.0
Indexes.entries.lookupDurationMaxMs,1715137196105000000,1715137256116000000,22.0
Indexes.allKeys.lookupDurationAvgMs,1715137196105000000,1715137256116000000,0.0
Indexes.stubs.lookupDuration90PMs,1715137196105000000,1715137256116000000,2.0
Indexes.entries.lookupDurationAvgMs,1715137196105000000,1715137256116000000,2.074074074074074
Indexes.stubs.lookupDurationMaxMs,1715137196105000000,1715137256116000000,55.0
IndexesFlusher.totalFlushes,1715137196105000000,1715137256116000000,59
Indexes.allKeys.lookupDuration90PMs,1715137196105000000,1715137256116000000,0.0
IndexesFlusher.totalFlushingTimeUs,1715137196105000000,1715137256116000000,166773
Indexes.entries.lookups,1715137196105000000,1715137256116000000,54.0
Indexes.allKeys.lookups,1715137196105000000,1715137256116000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1715137196105000000,1715137256116000000,0
workspaceModel.updates.precise.ms,1715137196105000000,1715137256116000000,9
workspaceModel.cachedValue.from.cache.ms,1715137196105000000,1715137256116000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1715137196105000000,1715137256116000000,22
workspaceModel.full.replace.project.model.ms,1715137196105000000,1715137256116000000,5
workspaceModel.cachedValueWithParameters.total.get.ms,1715137196105000000,1715137256116000000,0
workspaceModel.updates.ms,1715137196105000000,1715137256116000000,63
workspaceModel.updates.count,1715137196105000000,1715137256116000000,5
workspaceModel.check.recursive.update.ms,1715137196105000000,1715137256116000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1715137196105000000,1715137256116000000,38
workspaceModel.loading.from.cache.ms,1715137196105000000,1715137256116000000,143
workspaceModel.cachedValueWithParameters.calculated.ms,1715137196105000000,1715137256116000000,0
workspaceModel.loading.total.ms,1715137196105000000,1715137256116000000,151
workspaceModel.cachedValueWithParameters.clear.ms,1715137196105000000,1715137256116000000,0
workspaceModel.collect.changes.ms,1715137196105000000,1715137256116000000,0
workspaceModel.to.snapshot.ms,1715137196105000000,1715137256116000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1715137196105000000,1715137256116000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1715137196105000000,1715137256116000000,0
workspaceModel.cachedValue.calculated.ms,1715137196105000000,1715137256116000000,6
workspaceModel.workspaceFileIndexData.init.ms,1715137196105000000,1715137256116000000,111
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1715137196105000000,1715137256116000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1715137196105000000,1715137256116000000,0
workspaceModel.init.bridges.ms,1715137196105000000,1715137256116000000,3
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1715137196105000000,1715137256116000000,187
workspaceModel.workspaceFileIndexData.instances.count,1715137196105000000,1715137256116000000,1
workspaceModel.cachedValue.total.get.ms,1715137196105000000,1715137256116000000,7
workspaceModel.initializing.ms,1715137196105000000,1715137256116000000,3
workspaceModel.pre.handlers.ms,1715137196105000000,1715137256116000000,1
workspaceModel.cachedValue.clear.ms,1715137196105000000,1715137256116000000,0
workspaceModel.update.unloaded.entities.ms,1715137196105000000,1715137256116000000,0
workspaceModel.replace.project.model.ms,1715137196105000000,1715137256116000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1715137196105000000,1715137256116000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1715137196105000000,1715137256116000000,6
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1715137196105000000,1715137256116000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1715137196105000000,1715137256116000000,356
cacheStateStorage.get.counter,1715137196105000000,1715137256116000000,28
cacheStateStorage.set.duration,1715137196105000000,1715137256116000000,10
cacheStateStorage.set.counter,1715137196105000000,1715137256116000000,3
cacheStateStorage.get.duration,1715137196105000000,1715137256116000000,146
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalBytesWritten,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1715137196105000000,1715137256116000000,0
FilePageCache.totalPageLoadsUs,1715137196105000000,1715137256116000000,278224
FilePageCacheLockFree.totalPagesRequested,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalPagesWritten,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalPagesReclaimed,1715137196105000000,1715137256116000000,0
FilePageCache.pageLoads,1715137196105000000,1715137256116000000,274
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1715137196105000000,1715137256116000000,14466204
FilePageCache.capacityInBytes,1715137196105000000,1715137256116000000,503316478
FilePageCacheLockFree.totalPagesRequestsMs,1715137196105000000,1715137256116000000,0
DirectByteBufferAllocator.reclaimed,1715137196105000000,1715137256116000000,3
StreamlinedBlobStorage.recordsAllocated,1715137196105000000,1715137256116000000,131157
FilePageCacheLockFree.totalPagesAllocated,1715137196105000000,1715137256116000000,0
DirectByteBufferAllocator.disposed,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalPagesWriteMs,1715137196105000000,1715137256116000000,0
StorageLockContext.competingThreads.max,1715137196105000000,1715137256116000000,9
FilePageCacheLockFree.totalPageAllocationsWaited,1715137196105000000,1715137256116000000,0
FilePageCache.disposedBuffers,1715137196105000000,1715137256116000000,3
FilePageCacheLockFree.totalBytesRequested,1715137196105000000,1715137256116000000,0
FilePageCache.totalPageDisposalsUs,1715137196105000000,1715137256116000000,1119
FilePageCacheLockFree.totalClosedStoragesReclaimed,1715137196105000000,1715137256116000000,0
StreamlinedBlobStorage.recordsRelocated,1715137196105000000,1715137256116000000,0
DirectByteBufferAllocator.hits,1715137196105000000,1715137256116000000,3
DirectByteBufferAllocator.misses,1715137196105000000,1715137256116000000,271
FilePageCacheLockFree.housekeeperTurnsDone,1715137196105000000,1715137256116000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1715137196105000000,1715137256116000000,3790
FilePageCacheLockFree.nativeBytesInUse,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.heapBytesInUse,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1715137196105000000,1715137256116000000,0
FilePageCache.uncachedFileAccess,1715137196105000000,1715137256116000000,147
FilePageCacheLockFree.totalBytesRead,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalPagesHandedOver,1715137196105000000,1715137256116000000,0
