# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.ECMAScript.6.time.ns,1715101733477000000,1715101793503000000,124853874
lexer.JAVA.time.ns,1715101733477000000,1715101793503000000,2484209
parser.Markdown.time.ns,1715101733477000000,1715101793503000000,8112629
writeAction.max.wait.ms,1715101733477000000,1715101793503000000,6
parser.JavaScript.time.ns,1715101733477000000,1715101793503000000,947094548
lexer.ECMAScript.6.time.ns,1715101733477000000,1715101793503000000,351238173
writeAction.median.wait.ms,1715101733477000000,1715101793503000000,0
lexer.JAVA.size.bytes,1715101733477000000,1715101793503000000,12693
lexer.HTML.size.bytes,1715101733477000000,1715101793503000000,0
parser.JavaScript.size.bytes,1715101733477000000,1715101793503000000,3442704
lexer.SCSS.size.bytes,1715101733477000000,1715101793503000000,128330
parser.XML.time.ns,1715101733477000000,1715101793503000000,89820925
writeAction.count,1715101733477000000,1715101793503000000,36
parser.JAVA.size.bytes,1715101733477000000,1715101793503000000,12693
parser.XML.size.bytes,1715101733477000000,1715101793503000000,14169
lexer.Markdown.size.bytes,1715101733477000000,1715101793503000000,317
lexer.HTML.time.ns,1715101733477000000,1715101793503000000,55154
lexer.XML.size.bytes,1715101733477000000,1715101793503000000,14169
parser.HTML.time.ns,1715101733477000000,1715101793503000000,1898162
parser.Markdown.size.bytes,1715101733477000000,1715101793503000000,317
parser.SCSS.size.bytes,1715101733477000000,1715101793503000000,128330
lexer.Markdown.time.ns,1715101733477000000,1715101793503000000,51693131
lexer.JSON.time.ns,1715101733477000000,1715101793503000000,38770698
parser.ECMAScript.6.size.bytes,1715101733477000000,1715101793503000000,1127333
lexer.SCSS.time.ns,1715101733477000000,1715101793503000000,11622686
parser.JSON.size.bytes,1715101733477000000,1715101793503000000,407417
parser.JSON.time.ns,1715101733477000000,1715101793503000000,498596459
lexer.JSON.size.bytes,1715101733477000000,1715101793503000000,407417
parser.SCSS.time.ns,1715101733477000000,1715101793503000000,84449713
lexer.CSS.time.ns,1715101733477000000,1715101793503000000,613409731
lexer.XML.time.ns,1715101733477000000,1715101793503000000,4085310
writeAction.wait.ms,1715101733477000000,1715101793503000000,19
lexer.ECMAScript.6.size.bytes,1715101733477000000,1715101793503000000,1127333
lexer.CSS.size.bytes,1715101733477000000,1715101793503000000,1250259
parser.JAVA.time.ns,1715101733477000000,1715101793503000000,80560118
parser.HTML.size.bytes,1715101733477000000,1715101793503000000,0
parser.CSS.time.ns,1715101733477000000,1715101793503000000,192619094
parser.CSS.size.bytes,1715101733477000000,1715101793503000000,1250259
cacheStateStorage.set.counter,1715101733477000000,1715101793503000000,6
cacheStateStorage.get.counter,1715101733477000000,1715101793503000000,58
cacheStateStorage.get.duration,1715101733477000000,1715101793503000000,67
cacheStateStorage.set.duration,1715101733477000000,1715101793503000000,42
IndexesFlusher.totalFlushesRetried,1715101733477000000,1715101793503000000,1
Indexes.allKeys.lookupDurationMaxMs,1715101733477000000,1715101793503000000,0.0
Indexes.allKeys.lookups,1715101733477000000,1715101793503000000,0.0
Indexes.entries.lookupDurationMaxMs,1715101733477000000,1715101793503000000,0.0
Indexes.entries.lookupDurationAvgMs,1715101733477000000,1715101793503000000,0.0
IndexesFlusher.totalFlushingTimeUs,1715101733477000000,1715101793503000000,854814
Indexes.allKeys.lookupDuration90PMs,1715101733477000000,1715101793503000000,0.0
Indexes.stubs.lookups,1715101733477000000,1715101793503000000,0.0
Indexes.entries.lookupDuration90PMs,1715101733477000000,1715101793503000000,0.0
IndexesFlusher.totalFlushes,1715101733477000000,1715101793503000000,52
Indexes.entries.lookups,1715101733477000000,1715101793503000000,0.0
Indexes.stubs.lookupDuration90PMs,1715101733477000000,1715101793503000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1715101733477000000,1715101793503000000,0.0
Indexes.stubs.lookupDurationMaxMs,1715101733477000000,1715101793503000000,0.0
Indexes.stubs.lookupDurationAvgMs,1715101733477000000,1715101793503000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1715101733477000000,1715101793503000000,45
workspaceModel.mutableEntityStorage.remove.entity.ms,1715101733477000000,1715101793503000000,1
jps.global.get.library.ms,1715101733477000000,1715101793503000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1715101733477000000,1715101793503000000,2
workspaceModel.global.updates.count,1715101733477000000,1715101793503000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1715101733477000000,1715101793503000000,62
jps.facet.change.listener.init.bridge.ms,1715101733477000000,1715101793503000000,1
jps.project.serializers.load.ms,1715101733477000000,1715101793503000000,8
jps.artifact.entities.serializer.load.entities.ms,1715101733477000000,1715101793503000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1715101733477000000,1715101793503000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1715101733477000000,1715101793503000000,2
workspaceModel.moduleBridge.update.option.ms,1715101733477000000,1715101793503000000,0
workspaceModel.orphan.listener.update.ms,1715101733477000000,1715101793503000000,1
jps.modifiable.module.model.bridge.load.module.ms,1715101733477000000,1715101793503000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1715101733477000000,1715101793503000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1715101733477000000,1715101793503000000,0
workspaceModel.global.apply.state.to.project.ms,1715101733477000000,1715101793503000000,8
jps.module.iml.entities.serializer.save.entities.ms,1715101733477000000,1715101793503000000,22
jps.global.initialize.library.bridges.ms,1715101733477000000,1715101793503000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1715101733477000000,1715101793503000000,0
jps.global.handle.before.change.events.ms,1715101733477000000,1715101793503000000,0
jps.global.get.library.by.name.ms,1715101733477000000,1715101793503000000,0
jps.modifiable.module.model.bridge.disposing.ms,1715101733477000000,1715101793503000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1715101733477000000,1715101793503000000,150
jps.library.entities.serializer.load.entities.ms,1715101733477000000,1715101793503000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1715101733477000000,1715101793503000000,22
workspaceModel.mutableEntityStorage.modify.entity.ms,1715101733477000000,1715101793503000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1715101733477000000,1715101793503000000,36
workspaceModel.moduleManagerBridge.build.module.graph.ms,1715101733477000000,1715101793503000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1715101733477000000,1715101793503000000,2
jps.global.initialize.library.bridges.after.loading.ms,1715101733477000000,1715101793503000000,1
jps.facet.change.listener.process.change.events.ms,1715101733477000000,1715101793503000000,2
workspaceModel.sync.entities.ms,1715101733477000000,1715101793503000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1715101733477000000,1715101793503000000,5
workspaceModel.mutableEntityStorage.has.same.entities.ms,1715101733477000000,1715101793503000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1715101733477000000,1715101793503000000,0
jps.app.storage.content.writer.save.component.ms,1715101733477000000,1715101793503000000,1
workspaceModel.load.cache.from.file.ms,1715101733477000000,1715101793503000000,0
jps.modifiable.module.model.bridge.renaming.ms,1715101733477000000,1715101793503000000,0
workspaceModel.do.save.caches.ms,1715101733477000000,1715101793503000000,153
jps.global.handle.changed.events.ms,1715101733477000000,1715101793503000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1715101733477000000,1715101793503000000,18
workspaceModel.delayed.project.synchronizer.sync.ms,1715101733477000000,1715101793503000000,0
jps.reload.project.entities.ms,1715101733477000000,1715101793503000000,0
jps.load.project.to.empty.storage.ms,1715101733477000000,1715101793503000000,57
jps.save.changed.project.entities.ms,1715101733477000000,1715101793503000000,35
workspaceModel.load.cache.metadata.from.file.ms,1715101733477000000,1715101793503000000,0
jps.artifact.entities.serializer.save.entities.ms,1715101733477000000,1715101793503000000,0
jps.project.serializers.save.ms,1715101733477000000,1715101793503000000,35
workspaceModel.mutableEntityStorage.entities.ms,1715101733477000000,1715101793503000000,1
jps.facet.change.listener.before.change.events.ms,1715101733477000000,1715101793503000000,1
jps.app.storage.content.reader.load.component.ms,1715101733477000000,1715101793503000000,0
jps.apply.loaded.storage.ms,1715101733477000000,1715101793503000000,48
jps.storage.jps.conf.reader.load.component.ms,1715101733477000000,1715101793503000000,6
workspaceModel.moduleBridge.before.changed.ms,1715101733477000000,1715101793503000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1715101733477000000,1715101793503000000,1
workspaceModel.mutableEntityStorage.instances.count,1715101733477000000,1715101793503000000,51
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1715101733477000000,1715101793503000000,1
jps.modifiable.module.model.bridge.new.module.ms,1715101733477000000,1715101793503000000,74
jps.global.get.libraries.ms,1715101733477000000,1715101793503000000,0
jps.save.global.entities.ms,1715101733477000000,1715101793503000000,7
workspaceModel.moduleManagerBridge.newModule.ms,1715101733477000000,1715101793503000000,110
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1715101733477000000,1715101793503000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1715101733477000000,1715101793503000000,0
workspaceModel.save.cache.to.file.ms,1715101733477000000,1715101793503000000,152
jps.library.entities.serializer.save.entities.ms,1715101733477000000,1715101793503000000,3
workspaceModel.global.updates.ms,1715101733477000000,1715101793503000000,17
jps.module.iml.entities.serializer.load.entities.ms,1715101733477000000,1715101793503000000,0
